Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2016-01-05,3241,12127,9.13,16,682.0,284,47,28,176,541,31,13,572,567.311.723,Tuesday,1.0,1,901.666.666.667,945.804.195.804,746.666.666.667,885.375.494.071,January,1
2016-01-06,2992,11327,8.42,14,613.0,314,5,32,153,278,15,14,295,523.194.382,Wednesday,2.0,1,463.333.333.333,942.372.881.356,901.666.666.667,945.804.195.804,January,1
2016-01-07,3146,11098,8.25,15,720.0,247,53,30,163,316,39,19,355,512.631.075,Thursday,3.0,1,526.666.666.667,89.014.084.507,463.333.333.333,942.372.881.356,January,1
2016-01-08,3174,12395,9.23,2,567.0,405,7,8,1812,0,0,0,0,573.525.433,Friday,4.0,1,0.0,0.0,526.666.666.667,89.014.084.507,January,1
2016-01-09,2615,6643,4.94,0,676.0,283,0,0,1093,380,52,31,432,306.957.274,Saturday,5.0,0,633.333.333.333,87.962.962.963,0.0,0.0,January,1
2016-01-10,2711,8846,6.57,9,1.167,183,36,29,1197,297,31,19,328,408.240.747,Sunday,6.0,0,4.95,905.487.804.878,633.333.333.333,87.962.962.963,January,1
2016-01-11,3013,9642,7.16,15,758.0,247,44,24,1472,354,43,22,397,444.901.636,Monday,0.0,1,5.9,891.687.657.431,4.95,905.487.804.878,January,1
2016-01-12,2993,9982,7.42,8,839.0,222,30,26,1387,336,16,8,352,461.057.282,Tuesday,1.0,1,5.6,954.545.454.545,5.9,891.687.657.431,January,1
2016-01-13,2627,6613,4.91,11,857.0,205,13,3,102,306,17,10,323,305.093.161,Wednesday,2.0,1,5.1,947.368.421.053,5.6,954.545.454.545,January,1
2016-01-14,3128,12161,9.21,11,719.0,198,34,60,156,396,29,10,425,572.282.691,Thursday,3.0,1,6.6,931.764.705.882,5.1,947.368.421.053,January,1
2016-01-15,3361,14837,11.37,11,687.0,210,58,71,1917,0,0,0,0,706.498.827,Friday,4.0,1,0.0,0.0,6.6,931.764.705.882,January,1
2016-01-16,3379,16759,12.59,7,589.0,333,23,59,1977,327,18,11,345,782.306.089,Saturday,5.0,0,5.45,947.826.086.957,0.0,0.0,January,1
2016-01-17,2878,9602,7.26,0,547.0,279,4,15,1314,254,36,18,290,451.115.346,Sunday,6.0,0,423.333.333.333,875.862.068.966,5.45,947.826.086.957,January,1
2016-01-18,2144,3761,2.79,7,998.0,99,5,3,4670,423,13,7,436,173.362.509,Monday,0.0,1,07.05,970.183.486.239,423.333.333.333,875.862.068.966,January,1
2016-01-19,2543,7456,5.6,6,1.215,103,22,35,8810,345,29,19,374,34.796.776,Tuesday,1.0,1,5.75,922.459.893.048,07.05,970.183.486.239,January,1
2016-01-20,3472,16755,12.78,10,551.0,331,24,51,2073,391,39,22,430,794.112.138,Wednesday,2.0,1,651.666.666.667,909.302.325.581,5.75,922.459.893.048,January,1
2016-01-21,3218,11937,8.96,12,699.0,254,57,32,1729,400,41,27,441,556.748.416,Thursday,3.0,1,666.666.666.667,907.029.478.458,651.666.666.667,909.302.325.581,January,1
2016-01-22,3426,14577,10.96,5,519.0,391,34,22,211,434,31,26,466,681.022.616,Friday,4.0,1,723.333.333.333,931.330.472.103,666.666.666.667,907.029.478.458,January,1
2016-01-23,3615,17541,13.12,9,570.0,358,50,45,2286,325,11,5,336,815.238.752,Saturday,5.0,0,541.666.666.667,967.261.904.762,723.333.333.333,931.330.472.103,January,1
2016-01-24,1801,39,0.03,0,1.076,5,0,0,160,0,0,0,0,1.864.113,Sunday,6.0,0,0.0,0.0,541.666.666.667,967.261.904.762,January,1
2016-01-25,242,661,4.91,10,1.27,93,24,26,7560,468,37,24,507,305.093.161,Monday,0.0,1,7.8,923.076.923.077,0.0,0.0,January,1
2016-01-26,3066,13073,9.71,18,790.0,166,52,61,1521,336,55,30,391,603.351.241,Tuesday,1.0,1,5.6,859.335.038.363,7.8,923.076.923.077,January,1
2016-01-27,2886,9997,7.46,9,759.0,164,52,28,1291,458,63,36,521,463.542.766,Wednesday,2.0,1,763.333.333.333,879.078.694.818,5.6,859.335.038.363,January,1
2016-01-28,3092,10707,7.96,10,753.0,262,57,18,1592,339,47,28,386,494.611.316,Thursday,3.0,1,5.65,878.238.341.969,763.333.333.333,879.078.694.818,January,1
2016-01-29,2931,9952,7.39,17,760.0,233,30,26,14,342,48,31,390,459.193.169,Friday,4.0,1,5.7,876.923.076.923,5.65,878.238.341.969,January,1
2016-01-30,3034,9774,7.26,0,519.0,357,16,2,1641,0,0,0,0,451.115.346,Saturday,5.0,0,0.0,0.0,5.7,876.923.076.923,January,1
2016-01-31,2787,626,4.65,0,671.0,298,0,0,1277,357,35,22,392,288.937.515,Sunday,6.0,0,5.95,910.714.285.714,0.0,0.0,January,1
2016-02-01,2986,11426,8.52,12,911.0,192,48,43,1478,328,37,21,365,529.408.092,Monday,0.0,1,546.666.666.667,898.630.136.986,5.95,910.714.285.714,February,2
2016-02-02,2974,10466,7.78,13,802.0,152,48,48,1333,385,41,27,427,483.426.638,Tuesday,1.0,1,641.666.666.667,901.639.344.262,546.666.666.667,898.630.136.986,February,2
2016-02-03,3199,12866,9.63,11,767.0,271,45,28,1703,248,32,20,280,598.380.273,Wednesday,2.0,1,413.333.333.333,885.714.285.714,641.666.666.667,901.639.344.262,February,2
2016-02-04,2037,2449,1.87,0,821.0,80,0,0,3370,410,26,14,436,116.196.377,Thursday,3.0,1,683.333.333.333,940.366.972.477,413.333.333.333,885.714.285.714,February,2
2016-02-05,311,10434,7.75,13,718.0,243,42,29,1544,424,48,28,473,481.562.525,Friday,4.0,1,706.666.666.667,896.405.919.662,683.333.333.333,940.366.972.477,February,2
2016-02-05,311,10434,7.75,13,718.0,243,42,29,1544,401,18,14,420,481.562.525,Friday,4.0,1,668.333.333.333,954.761.904.762,706.666.666.667,896.405.919.662,February,2
2016-02-06,3177,12578,9.4,0,563.0,388,10,11,1784,350,29,19,380,58.408.874,Saturday,5.0,0,583.333.333.333,921.052.631.579,668.333.333.333,954.761.904.762,February,2
2016-02-07,3182,15373,11.7,12,599.0,273,10,62,1729,316,15,7,331,72.700.407,Sunday,6.0,0,526.666.666.667,954.682.779.456,583.333.333.333,921.052.631.579,February,2
2016-02-08,3206,12327,9.24,8,699.0,278,28,30,168,376,50,30,426,574.146.804,Monday,0.0,1,626.666.666.667,882.629.107.981,526.666.666.667,954.682.779.456,February,2
2016-02-09,2872,10457,7.82,14,847.0,181,15,41,1252,342,41,21,383,485.912.122,Tuesday,1.0,1,5.7,892.950.391.645,626.666.666.667,882.629.107.981,February,2
2016-02-10,2662,99,7.43,21,1.237,156,6,41,1098,0,0,0,0,461.678.653,Wednesday,2.0,1,0.0,0.0,5.7,892.950.391.645,February,2
2016-02-11,2899,8966,6.66,14,802.0,235,21,20,1299,333,22,15,355,413.833.086,Thursday,3.0,1,5.55,938.028.169.014,0.0,0.0,February,2
2016-02-12,2816,8353,6.21,19,732.0,219,17,26,1187,322,26,14,348,385.871.391,Friday,4.0,1,536.666.666.667,925.287.356.322,5.55,938.028.169.014,February,2
2016-02-13,3235,13907,10.36,0,551.0,357,15,15,1813,448,55,29,503,643.740.356,Saturday,5.0,0,746.666.666.667,890.656.063.618,536.666.666.667,925.287.356.322,February,2
2016-02-14,3289,14183,10.54,13,617.0,374,45,12,1941,264,28,20,293,654.925.034,Sunday,6.0,0,4.4,901.023.890.785,746.666.666.667,890.656.063.618,February,2
2016-02-15,2751,8453,6.28,11,1.304,124,8,4,5890,0,0,0,0,390.220.988,Monday,0.0,1,0.0,0.0,4.4,901.023.890.785,February,2
2016-02-16,2927,7995,5.98,15,802.0,231,34,16,1347,305,27,16,334,371.579.858,Tuesday,1.0,1,508.333.333.333,913.173.652.695,0.0,0.0,February,2
2016-02-17,2783,6707,4.98,10,913.0,174,36,19,1131,309,12,7,321,309.442.758,Wednesday,2.0,1,5.15,96.261.682.243,508.333.333.333,913.173.652.695,February,2
2016-02-18,2804,8109,6.1,13,1.212,143,42,33,1146,0,0,0,0,37.903.631,Thursday,3.0,1,0.0,0.0,5.15,96.261.682.243,February,2
2016-02-19,2815,11971,9.23,11,865.0,179,3,51,1234,317,17,9,334,573.525.433,Friday,4.0,1,528.333.333.333,949.101.796.407,0.0,0.0,February,2
2016-02-20,296,11371,8.45,0,457.0,327,14,19,1533,383,35,31,419,525.058.495,Saturday,5.0,0,638.333.333.333,914.081.145.585,528.333.333.333,949.101.796.407,February,2
2016-02-21,2038,219,1.63,0,954.0,93,0,0,3510,347,45,32,393,101.283.473,Sunday,6.0,0,578.333.333.333,882.951.653.944,638.333.333.333,914.081.145.585,February,2
2016-02-22,2594,6592,4.93,10,1.234,155,23,14,9580,0,0,0,0,306.335.903,Monday,0.0,1,0.0,0.0,578.333.333.333,882.951.653.944,February,2
2016-02-23,2841,8624,6.41,10,739.0,193,36,25,122,243,23,9,266,398.298.811,Tuesday,1.0,1,04.05,913.533.834.586,0.0,0.0,February,2
2016-02-24,2933,8307,6.17,12,762.0,195,25,37,1305,437,22,9,459,383.385.907,Wednesday,2.0,1,728.333.333.333,952.069.716.776,04.05,913.533.834.586,February,2
2016-02-25,2816,7941,5.9,9,878.0,142,47,32,1184,382,35,21,417,36.660.889,Thursday,3.0,1,636.666.666.667,916.067.146.283,728.333.333.333,952.069.716.776,February,2
2016-02-26,2764,805,5.98,9,1.203,177,40,20,115,0,0,0,0,371.579.858,Friday,4.0,1,0.0,0.0,636.666.666.667,916.067.146.283,February,2
2016-02-27,3029,9923,7.37,5,1.124,184,25,44,1306,0,0,0,0,457.950.427,Saturday,5.0,0,0.0,0.0,0.0,0.0,February,2
2016-02-28,2844,9504,7.15,2,687.0,283,10,1,1322,262,33,16,295,444.280.265,Sunday,6.0,0,436.666.666.667,88.813.559.322,0.0,0.0,February,2
2016-02-29,2612,6847,05.09,10,731.0,206,20,1,1023,166,14,7,180,316.277.839,Monday,0.0,1,276.666.666.667,922.222.222.222,436.666.666.667,88.813.559.322,February,2
2016-03-01,3117,11618,8.66,12,776.0,217,59,29,1584,420,31,26,451,538.107.286,Tuesday,1.0,1,7.0,931.263.858.093,276.666.666.667,922.222.222.222,March,3
2016-03-02,2897,1045,7.76,19,765.0,199,35,26,1292,327,34,22,361,482.183.896,Wednesday,2.0,1,5.45,905.817.174.515,7.0,931.263.858.093,March,3
2016-03-03,2864,11478,8.69,17,749.0,167,5,45,1219,420,45,28,465,539.971.399,Thursday,3.0,1,7.0,903.225.806.452,5.45,905.817.174.515,March,3
2016-03-04,2996,1065,7.97,13,754.0,227,31,30,142,157,10,5,167,495.232.687,Friday,4.0,1,261.666.666.667,940.119.760.479,7.0,903.225.806.452,March,3
2016-03-05,2228,3103,2.31,1,1.042,155,0,0,5720,302,23,15,325,143.536.701,Saturday,5.0,0,503.333.333.333,929.230.769.231,261.666.666.667,940.119.760.479,March,3
2016-03-06,266,696,5.2,0,1.105,280,0,0,1103,0,0,0,0,32.311.292,Sunday,6.0,0,0.0,0.0,503.333.333.333,929.230.769.231,March,3
2016-03-07,322,16699,13.4,11,791.0,158,9,97,1664,348,39,23,387,83.263.714,Monday,0.0,1,5.8,899.224.806.202,0.0,0.0,March,3
2016-03-08,3083,14068,11.26,14,824.0,167,8,65,1469,267,31,18,299,699.663.746,Tuesday,1.0,1,4.45,892.976.588.629,5.8,899.224.806.202,March,3
2016-03-09,3339,18092,14.05,19,1.12,243,8,69,1833,0,0,0,0,873.026.255,Wednesday,2.0,1,0.0,0.0,4.45,892.976.588.629,March,3
2016-03-10,3307,1853,14.71,20,793.0,162,21,100,1766,334,29,18,364,914.036.741,Thursday,3.0,1,556.666.666.667,917.582.417.582,0.0,0.0,March,3
2016-03-11,3135,14587,10.86,2,1.013,313,14,38,1726,0,0,0,0,674.808.906,Friday,4.0,1,0.0,0.0,556.666.666.667,917.582.417.582,March,3
2016-03-12,284,9992,7.45,4,685.0,339,0,13,1438,275,13,10,288,462.921.395,Saturday,5.0,0,458.333.333.333,954.861.111.111,0.0,0.0,March,3
2016-03-13,179,0,0.0,0,1.44,0,0,0,0,0,0,0,0,0.0,Sunday,6.0,0,0.0,0.0,458.333.333.333,954.861.111.111,March,3
2016-03-14,2538,9336,7.4,11,1.288,73,4,50,8500,0,0,0,0,45.981.454,Monday,0.0,1,0.0,0.0,0.0,0.0,March,3
2016-03-15,3133,15596,12.61,13,782.0,187,3,77,1557,356,14,5,370,783.548.831,Tuesday,1.0,1,593.333.333.333,962.162.162.162,0.0,0.0,March,3
2016-03-16,396,25385,20.45,17,638.0,254,17,124,2556,368,46,22,414,1.270.703.695,Wednesday,2.0,1,613.333.333.333,888.888.888.889,593.333.333.333,962.162.162.162,March,3
2016-03-17,315,14577,11.46,17,823.0,162,10,81,1553,388,14,10,402,712.091.166,Thursday,3.0,1,646.666.666.667,965.174.129.353,613.333.333.333,888.888.888.889,March,3
2016-03-18,3214,16667,13.08,12,832.0,173,9,90,1647,223,33,17,256,812.753.268,Friday,4.0,1,371.666.666.667,87.109.375,646.666.666.667,965.174.129.353,March,3
2016-03-19,387,13361,9.93,7,530.0,418,38,50,2548,435,49,31,484,617.021.403,Saturday,5.0,0,7.25,898.760.330.579,371.666.666.667,87.109.375,March,3
2016-03-20,2731,6754,05.02,1,564.0,315,0,0,1237,383,35,23,427,311.928.242,Sunday,6.0,0,638.333.333.333,896.955.503.513,7.25,898.760.330.579,March,3
2016-03-21,2464,5424,04.03,10,1.047,193,7,2,8590,224,20,13,244,250.412.513,Monday,0.0,1,373.333.333.333,918.032.786.885,638.333.333.333,896.955.503.513,March,3
2016-03-22,3555,17913,13.41,15,593.0,382,22,55,2243,274,35,26,319,833.258.511,Tuesday,1.0,1,456.666.666.667,858.934.169.279,373.333.333.333,918.032.786.885,March,3
2016-03-23,3063,14324,10.89,14,669.0,222,10,59,1542,391,27,13,418,676.673.019,Wednesday,2.0,1,651.666.666.667,935.406.698.565,456.666.666.667,858.934.169.279,March,3
2016-03-24,2503,8049,06.03,8,01.09,123,3,24,8170,254,32,13,286,374.686.713,Thursday,3.0,1,423.333.333.333,888.111.888.112,651.666.666.667,935.406.698.565,March,3
2016-03-25,3052,11122,8.29,0,599.0,386,9,0,1646,204,10,5,214,515.116.559,Friday,4.0,1,3.4,953.271.028.037,423.333.333.333,888.111.888.112,March,3
2016-03-26,3021,957,7.11,1,879.0,395,0,0,1587,64,5,4,69,441.794.781,Saturday,5.0,0,106.666.666.667,927.536.231.884,3.4,953.271.028.037,March,3
2016-03-27,2223,4667,3.47,0,889.0,114,20,2,5880,457,54,35,512,215.615.737,Sunday,6.0,0,761.666.666.667,892.578.125,106.666.666.667,927.536.231.884,March,3
2016-03-28,179,0,0.0,0,1.44,0,0,0,0,0,0,0,0,0.0,Monday,0.0,1,0.0,0.0,761.666.666.667,892.578.125,March,3
2016-03-29,2648,9781,7.34,12,1.23,139,6,39,1009,0,0,0,0,456.086.314,Tuesday,1.0,1,0.0,0.0,0.0,0.0,March,3
2016-03-30,3768,21383,16.69,17,641.0,384,23,57,2417,321,40,21,361,1.037.068.199,Wednesday,2.0,1,5.35,8.891.966.759,0.0,0.0,March,3
2016-03-31,3512,20109,15.18,21,629.0,302,35,63,2107,319,25,15,344,943.241.178,Thursday,3.0,1,531.666.666.667,927.325.581.395,5.35,8.891.966.759,March,3
2016-04-01,2814,1113,8.61,8,900.0,162,3,54,1176,337,51,23,388,535.000.431,Friday,4.0,1,561.666.666.667,868.556.701.031,531.666.666.667,927.325.581.395,April,4
2016-04-02,2884,825,6.13,0,950.0,314,7,1,1335,78,6,3,85,380.900.423,Saturday,5.0,0,1.3,917.647.058.824,561.666.666.667,868.556.701.031,April,4
2016-04-03,2931,8682,6.45,0,669.0,355,0,0,1437,315,45,23,360,400.784.295,Sunday,6.0,0,5.25,87.5,1.3,917.647.058.824,April,4
2016-04-04,3314,17535,13.66,14,881.0,168,8,102,1731,184,29,16,214,848.792.786,Monday,0.0,1,306.666.666.667,859.813.084.112,5.25,87.5,April,4
2016-04-05,383,20154,15.05,3,445.0,471,28,45,258,425,25,8,450,935.163.355,Tuesday,1.0,1,708.333.333.333,944.444.444.444,306.666.666.667,859.813.084.112,April,4
2016-04-06,4112,23286,17.84,19,561.0,451,28,67,285,267,34,15,302,1.108.525.864,Wednesday,2.0,1,4.45,884.105.960.265,708.333.333.333,944.444.444.444,April,4
2016-04-07,3048,13004,9.87,14,856.0,214,3,58,1472,359,14,7,373,613.293.177,Thursday,3.0,1,598.333.333.333,962.466.487.936,4.45,884.105.960.265,April,4
2016-04-08,3241,13441,10.04,2,449.0,439,0,0,1874,379,46,24,425,623.856.484,Friday,4.0,1,631.666.666.667,891.764.705.882,598.333.333.333,962.466.487.936,April,4
2016-04-09,3038,10216,7.59,0,535.0,390,0,0,1607,507,18,10,525,471.620.589,Saturday,5.0,0,8.45,965.714.285.714,631.666.666.667,891.764.705.882,April,4
2016-04-10,2304,5634,4.19,0,921.0,92,41,4,6590,306,35,22,341,260.354.449,Sunday,6.0,0,5.1,897.360.703.812,8.45,965.714.285.714,April,4
2016-04-11,3419,17422,13.38,34,674.0,290,14,61,1928,407,50,26,457,831.394.398,Monday,0.0,1,678.333.333.333,890.590.809.628,5.1,897.360.703.812,April,4
2016-04-12,3179,14475,10.92,14,664.0,291,10,47,1696,354,37,21,391,678.537.132,Tuesday,1.0,1,5.9,90.537.084.399,678.333.333.333,890.590.809.628,April,4
2016-04-13,3427,17777,13.66,20,696.0,276,10,80,1967,365,65,31,430,848.792.786,Wednesday,2.0,1,608.333.333.333,848.837.209.302,5.9,90.537.084.399,April,4
2016-04-14,3479,19087,14.65,17,711.0,221,12,96,1954,278,26,18,304,910.308.515,Thursday,3.0,1,463.333.333.333,914.473.684.211,608.333.333.333,848.837.209.302,April,4
2016-04-15,3501,1629,12.2,12,467.0,427,25,11,2166,396,50,20,446,75.807.262,Friday,4.0,1,6.6,887.892.376.682,463.333.333.333,914.473.684.211,April,4
2016-04-16,3342,14252,10.64,6,675.0,323,60,18,1947,404,67,25,471,661.138.744,Saturday,5.0,0,673.333.333.333,857.749.469.214,6.6,887.892.376.682,April,4
2016-04-17,2769,8262,6.14,3,1.089,302,0,0,1266,0,0,0,0,381.521.794,Sunday,6.0,0,0.0,0.0,673.333.333.333,857.749.469.214,April,4
2016-04-18,3486,1945,15.06,18,860.0,190,6,98,1926,307,28,12,335,935.784.726,Monday,0.0,1,511.666.666.667,916.417.910.448,0.0,0.0,April,4
2016-04-19,3596,17232,13.61,17,1.002,262,4,88,2085,0,0,0,0,845.685.931,Tuesday,1.0,1,0.0,0.0,511.666.666.667,916.417.910.448,April,4
2016-04-20,3321,16946,12.93,25,762.0,238,5,67,1795,411,31,17,442,803.432.703,Wednesday,2.0,1,6.85,929.864.253.394,0.0,0.0,April,4
2016-04-21,3464,19183,14.67,24,723.0,218,7,97,1964,341,27,17,368,911.551.257,Thursday,3.0,1,568.333.333.333,926.630.434.783,6.85,929.864.253.394,April,4
2016-04-22,3328,12963,9.66,10,404.0,436,14,10,202,430,62,39,492,600.244.386,Friday,4.0,1,716.666.666.667,873.983.739.837,568.333.333.333,926.630.434.783,April,4
2016-04-23,2612,6456,4.8,6,782.0,305,0,0,1135,305,42,28,348,29.825.808,Saturday,5.0,0,508.333.333.333,876.436.781.609,716.666.666.667,873.983.739.837,April,4
2016-04-24,2863,10413,7.73,6,700.0,269,28,24,1411,375,56,31,431,480.319.783,Sunday,6.0,0,6.25,870.069.605.568,508.333.333.333,876.436.781.609,April,4
2016-04-25,3175,10499,7.8,0,661.0,430,9,4,1805,237,28,14,265,48.466.938,Monday,0.0,1,3.95,894.339.622.642,6.25,870.069.605.568,April,4
2016-04-26,3357,17226,12.97,19,751.0,185,16,95,1798,360,20,10,380,805.918.187,Tuesday,1.0,1,6.0,947.368.421.053,3.95,894.339.622.642,April,4
2016-04-27,3631,19784,15.51,25,694.0,151,26,128,207,361,49,27,410,963.746.421,Wednesday,2.0,1,601.666.666.667,880.487.804.878,6.0,947.368.421.053,April,4
2016-04-28,403,25571,19.3,15,606.0,293,42,129,2711,374,56,34,430,119.924.603,Thursday,3.0,1,623.333.333.333,86.976.744.186,601.666.666.667,880.487.804.878,April,4
2016-04-29,3442,17528,13.36,15,594.0,239,8,82,1931,348,20,9,368,830.151.656,Friday,4.0,1,5.8,945.652.173.913,623.333.333.333,86.976.744.186,April,4
2016-04-30,3061,9831,7.3,1,561.0,414,0,0,1651,454,48,27,502,45.360.083,Saturday,5.0,0,756.666.666.667,90.438.247.012,5.8,945.652.173.913,April,4
2016-05-01,3331,14262,10.6,5,666.0,361,21,41,1937,347,41,20,388,65.865.326,Sunday,6.0,0,578.333.333.333,894.329.896.907,756.666.666.667,90.438.247.012,May,5
2016-05-02,2989,13236,9.98,12,770.0,234,8,38,1477,314,34,23,348,620.128.258,Monday,0.0,1,523.333.333.333,902.298.850.575,578.333.333.333,894.329.896.907,May,5
2016-05-03,3796,18588,14.13,16,599.0,275,49,79,236,377,33,18,410,877.997.223,Tuesday,1.0,1,628.333.333.333,919.512.195.122,523.333.333.333,902.298.850.575,May,5
2016-05-04,3525,16382,12.39,16,684.0,333,10,55,2075,406,21,8,427,769.878.669,Wednesday,2.0,1,676.666.666.667,950.819.672.131,628.333.333.333,919.512.195.122,May,5
2016-05-05,3649,21913,16.4,19,701.0,287,29,90,2249,280,35,15,315,101.904.844,Thursday,3.0,1,466.666.666.667,888.888.888.889,676.666.666.667,950.819.672.131,May,5
2016-05-06,3539,19023,14.79,15,575.0,298,8,85,2112,370,42,22,412,919.007.709,Friday,4.0,1,616.666.666.667,898.058.252.427,466.666.666.667,888.888.888.889,May,5
2016-05-07,304,9526,07.08,2,564.0,370,13,10,1604,502,57,31,563,439.930.668,Saturday,5.0,0,836.666.666.667,891.651.865.009,616.666.666.667,898.058.252.427,May,5